Frame,X,Y,Width,Height
9,608,229,38,19
10,608,229,38,19
11,608,229,38,19
12,608,230,38,19
13,607,231,38,19
14,607,230,38,19
15,607,232,38,19
16,607,232,38,19
17,607,232,38,19
18,606,233,38,19
19,606,232,38,19
20,606,233,38,19
21,606,233,38,19
22,606,233,38,19
23,606,234,38,19
24,606,235,38,19
25,607,234,38,19
26,607,236,38,19
27,607,236,38,19
28,607,237,38,19
29,607,236,38,19
30,607,237,38,19
31,608,237,38,19
32,608,237,38,19
33,609,238,38,19
34,609,239,38,19
35,610,238,38,19
36,611,239,38,19
37,612,239,38,19
38,614,239,38,19
39,615,240,38,19
40,616,241,38,19
41,617,241,38,19
42,619,241,38,19
43,620,241,38,19
44,622,241,38,19
45,623,242,38,19
46,625,243,38,19
47,627,243,38,19
48,628,243,38,19
49,630,243,38,19
50,631,244,38,19
51,633,245,38,19
52,635,245,38,19
53,636,245,38,19
54,638,245,38,19
55,639,245,38,19
56,641,246,38,19
57,642,247,38,19
58,644,247,38,19
59,645,247,38,19
60,646,248,38,19
61,647,249,38,19
62,648,248,38,19
63,649,249,38,19
64,650,249,38,19
65,651,249,38,19
66,651,250,38,19
67,652,251,38,19
68,653,251,38,19
69,653,252,38,19
70,653,254,38,19
71,653,255,38,19
72,653,255,38,19
73,652,256,38,19
74,651,257,38,19
75,649,257,38,19
76,648,258,38,19
77,646,260,38,19
78,644,261,38,19
79,643,261,38,19
80,625,262,68,30
81,625,262,68,30
82,623,263,68,30
83,622,264,68,30
84,621,264,68,30
85,620,265,68,30
86,619,266,68,30
87,619,266,68,30
88,620,266,68,30
89,621,267,68,30
90,622,268,68,30
91,624,268,68,30
92,627,269,68,30
93,630,270,68,30
94,633,271,68,30
95,621,267,95,42
96,621,267,95,42
97,625,268,95,42
98,629,269,95,42
99,633,271,95,42
100,638,272,95,42
101,643,273,95,42
102,647,275,95,42
103,652,277,95,42
104,658,278,95,42
105,664,280,95,42
106,669,282,95,42
107,665,279,128,61
108,665,279,128,61
109,669,280,128,61
110,673,283,128,61
111,677,286,128,61
112,683,287,128,61
113,685,288,128,61
114,693,285,128,61
115,701,282,128,61
116,711,277,128,61
117,719,272,128,61
118,731,265,128,61
119,738,665,98,55
120,738,665,98,55
121,738,665,98,55
122,738,665,98,55
123,738,665,98,55
124,738,665,98,55
125,738,665,98,55
126,738,664,98,55
127,738,665,98,55
128,738,664,98,55
129,738,665,98,55
130,738,664,98,55
131,738,665,98,55
132,738,664,98,55
